HIO1,HIO2,HIO3,HIO4,HIO5,HIO6,HIO7,HIO8,HIO9,HIO10,HIO11,HIO12,HIO13,HIO14,HIO15,treatment,hr,,,,,,,,,,
0.2555624301,0,0.3992571671,0.8018926521,0.7610950954,0,0.1081379411,0.6269253153,0.6224815374,,,,,,,TNF&IFN,19.8333333333,,,,,,,,,,
0.2506982162,0,0.402167115,0.7958055979,0.752397808,0,0.1035274542,0.6143081792,0.614124753,,,,,,,TNF&IFN,20,,,,,,,,,,
1,0.9999999999,1,1,1,1,1,1.0000000001,,,,,,,,E. coli + TNF&IFN,0,,,,,,,,,,
0.9381048842,0.9114329405,0.9758400472,0.9854972474,0.9870331143,0.989839033,0.950661509,0.9860094206,,,,,,,,E. coli + TNF&IFN,0.1666666667,,,,,,,,,,
0.9107762558,0.8437798269,0.9590809813,0.9794005552,0.9919316355,0.9910961103,0.8930573385,0.9720859516,,,,,,,,E. coli + TNF&IFN,0.3333333333,,,,,,,,,,
0.8578940126,0.7799193954,0.9320923247,0.9624152326,0.9816425238,0.9859145409,0.8418107229,0.9584660028,,,,,,,,E. coli + TNF&IFN,0.5,,,,,,,,,,
0.8259196758,0.7559809757,0.916742093,0.9552383763,0.9781468695,0.9845469734,0.8014037621,0.9496281364,,,,,,,,E. coli + TNF&IFN,0.6666666667,,,,,,,,,,
0.7946486613,0.7304253404,0.8966748091,0.9464924969,0.98962667,0.9966776517,0.7843302353,0.9457036218,,,,,,,,E. coli + TNF&IFN,0.8333333333,,,,,,,,,,
0.7605793619,0.7036127254,0.879058021,0.9367403974,0.9956184409,0.9986433685,0.7653267418,0.9370388195,,,,,,,,E. coli + TNF&IFN,1,,,,,,,,,,
0.7404111696,0.6813661116,0.86011789,0.9161325422,0.9912750991,0.9976763192,0.742878794,0.9337653891,,,,,,,,E. coli + TNF&IFN,1.1666666667,,,,,,,,,,
0.7172275773,0.664278308,0.8380118303,0.8980547362,0.9869634483,0.994327392,0.7193374816,0.9296616051,,,,,,,,E. coli + TNF&IFN,1.3333333333,,,,,,,,,,
0.697846932,0.639738495,0.8200803788,0.8821416104,0.9804978836,0.995024727,0.7069893426,0.9250763714,,,,,,,,E. coli + TNF&IFN,1.5,,,,,,,,,,
0.6808603501,0.6210764189,0.8021659166,0.8661173347,0.9801791118,0.9935430388,0.6947234951,0.9205110459,,,,,,,,E. coli + TNF&IFN,1.6666666667,,,,,,,,,,
0.6621456002,0.5968962122,0.7785632189,0.8479363007,0.9834842189,0.9924502873,0.6808610991,0.917090011,,,,,,,,E. coli + TNF&IFN,1.8333333333,,,,,,,,,,
0.6448803807,0.576675344,0.7554599857,0.8315960655,0.981504968,0.9926038747,0.6713802434,0.9143191189,,,,,,,,E. coli + TNF&IFN,2,,,,,,,,,,
0.6385100979,0.5679622647,0.7474997142,0.8237090826,0.9884125692,1.0008647873,0.6637003062,0.9092827445,,,,,,,,E. coli + TNF&IFN,2.1666666667,,,,,,,,,,
0.6263204499,0.5533411906,0.731389483,0.8128281671,0.988987574,0.9939911455,0.6531396154,0.9039554361,,,,,,,,E. coli + TNF&IFN,2.3333333333,,,,,,,,,,
0.6265633576,0.545671552,0.7211594565,0.8064186964,0.996979903,1.0094984637,0.6591016011,0.9021726955,,,,,,,,E. coli + TNF&IFN,2.5,,,,,,,,,,
0.6151303761,0.5364628234,0.7051677974,0.7941973714,1.0046945468,1.0133968555,0.6649717474,0.9013617556,,,,,,,,E. coli + TNF&IFN,2.6666666667,,,,,,,,,,
0.6117647751,0.5194210027,0.6794021538,0.7779390085,0.9989855621,1.0086714174,0.6529361105,0.8963052497,,,,,,,,E. coli + TNF&IFN,2.8333333333,,,,,,,,,,
0.6107264502,0.5154670128,0.6733545493,0.7745389135,1.0066421435,1.018692184,0.6516358619,0.8961401936,,,,,,,,E. coli + TNF&IFN,3,,,,,,,,,,
0.6083166029,0.5039429294,0.6579826809,0.7596700103,0.9974331515,1.0154409157,0.6452316299,0.8917616669,,,,,,,,E. coli + TNF&IFN,3.1666666667,,,,,,,,,,
0.6103492566,0.4971467762,0.6494067824,0.7592774217,1.0085760952,1.0204893774,0.6428501045,0.8896368181,,,,,,,,E. coli + TNF&IFN,3.3333333333,,,,,,,,,,
0.5901515462,0.4795694789,0.6290050678,0.7408759138,0.9887178941,0.997200273,0.6244754339,0.8860509503,,,,,,,,E. coli + TNF&IFN,3.5,,,,,,,,,,
