"","x"
"973","LOXL3"
"974","LPAR6"
"975","LPCAT4"
"976","LPIN3"
"977","LPP"
"978","LRCH1"
"979","LRG1"
"980","LRIF1"
"981","LRIG3"
"982","LRP4"
"983","LRRC32"
"984","LRRC37A11P"
"985","LRRC66"
"986","LRRFIP1"
"987","LRRK1"
"988","LSAMP"
"989","LSM12"
"990","LSM14A"
"991","LSMEM1"
"992","LTB"
"993","LTF"
"994","LURAP1L"
"995","LY6E"
"996","LY6H"
"997","LYSMD3"
"998","LZIC"
"999","LZTFL1"
"1000","LZTS2"
"1001","MAFF"
"1002","MAGI1"
"1003","MALRD1"
"1004","MALT1"
"1005","MAML2"
"1006","MAOA"
"1007","MAP3K6"
"1008","MAP3K8"
"1009","MAP7"
"1010","MAPK14"
"1011","MAPK3"
"1012","MAPK4"
"1013","MAPRE2"
"1014","MARCKS"
"1015","MASP1"
"1016","MATN1"
"1017","MBNL2"
"1018","MCEE"
"1019","MCHR1"
"1020","MCTS1"
"1021","MCU"
"1022","MDK"
"1023","MEI4"
"1024","MEP1A"
"1025","METTL21B"
"1026","MFSD7"
"1027","MGAM"
"1028","MGAT3"
"1029","MIA2"
"1030","MIDN"
"1031","MIF"
"1032","MKLN1"
"1033","MKNK2"
"1034","MLKL"
"1035","MLLT3"
"1036","MMEL1"
"1037","MMP19"
"1038","MMP3"
"1039","MMRN2"
"1040","MOB3A"
"1041","MOGAT2"
"1042","MOGAT3"
"1043","MON2"
"1044","MORF4L2"
"1045","MPI"
"1046","MPP5"
"1047","MPZL2"
"1048","MRGPRF"
"1049","MRPL30"
"1050","MRPL42"
"1051","MRPS36"
"1052","MRVI1"
"1053","MS4A8"
"1054","MSH5"
"1055","MSH5-SAPCD1"
"1056","MSI2"
"1057","MSMO1"
"1058","MSRB1"
"1059","MST1"
"1060","MST1L"
"1061","MST1P2"
"1062","MTCL1"
"1063","MTFR1"
"1064","MTMR11"
"1065","MTMR9LP"
"1066","MTRNR2L1"
"1067","MTRNR2L10"
"1068","MTRNR2L11"
"1069","MTRNR2L12"
"1070","MTRNR2L4"
"1071","MTRNR2L6"
"1072","MTRNR2L8"
"1073","MUC12"
"1074","MUC13"
"1075","MUC2"
"1076","MUC3A"
"1077","MVP"
"1078","MXI1"
"1079","MYADM"
"1080","MYCN"
"1081","MYL12A"
"1082","MYL12B"
"1083","MYL3"
"1084","MYL6"
"1085","MYL9"
"1086","MYLK"
"1087","MYO10"
"1088","MYO15A"
"1089","MYO15B"
"1090","MYO18A"
"1091","MYO1A"
"1092","MYO1B"
"1093","MYO1C"
"1094","MYO3A"
"1095","MYO6"
"1096","MYOCD"
"1097","MYOF"
"1098","MYOM1"
"1099","MYRF"
"1100","N4BP2L2"
"1101","N4BP3"
"1102","NACA"
"1103","NACAP1"
