well,plate,treatment,day,plate_pos,broth_pos,censor,dead,bd1,bd2,il6,il8,vegf,sterile_d9_0
D1,2,E. coli,3,1,0,0,0,52.88,712.56,212.27,3017.16,2200.02,1
A2,2,E. coli,3,0,0,0,0,54.78,786.45,287.73,1141.83,2855.91,0
B2,2,E. coli,3,0,0,0,0,36.33,165.64,138.57,851.78,1487.43,0
C2,2,E. coli,3,0,0,0,0,21.6,245.17,54.45,1066.3,1107.35,1
D2,2,E. coli,3,0,0,0,0,4.12,574.86,220.44,2363.92,1064.97,0
A3,2,E. coli,3,0,0,0,0,340.31,2439.44,434.19,3612.25,2547.29,1
B3,2,E. coli,3,0,0,0,0,20.59,336.84,233.01,1466.68,1310.47,0
C3,2,E. coli,3,0,0,0,0,44.37,168.25,87.39,194.63,1680.68,0
D3,2,E. coli,3,0,0,0,0,12.42,0,11.15,252.97,615.84,0
A4,2,E. coli,3,0,0,0,0,48.03,90.6,7.42,87.12,1733.44,0
B4,2,E. coli,3,0,0,0,0,28.01,564.83,328.86,4670.42,261.61,0
C4,2,E. coli,3,0,0,0,0,55.63,43.9,24.98,631.99,862.95,0
D4,2,E. coli,3,0,0,0,0,12.42,365.63,222.95,3603.52,482.3,0
A5,2,E. coli,3,0,0,0,0,60.83,365.81,181.66,6660.21,845.33,1
B5,2,E. coli,3,0,0,0,0,18.31,618.81,199.99,4308.96,460.29,0
C5,2,E. coli,3,0,0,0,0,21.31,81.2,2.6,85.83,735.3,0
D5,2,E. coli,3,0,0,0,0,72.82,995.86,566.12,3230.04,2969.43,1
A6,2,E. coli,3,0,0,0,0,25.82,31.83,1.76,61.32,1119.54,0
B6,2,E. coli,3,0,0,0,0,92.98,0,108.08,4765.36,998.98,0
C6,2,E. coli,3,0,0,0,0,62.63,269.04,124.39,1573.03,2076.28,0
D6,2,E. coli,3,0,0,0,0,8.34,556.83,207.27,1989.22,1311.62,0
1,3,PBS,3,0,0,0,0,68.78,0,0.92,128.63,587.86,0
2,3,PBS,3,0,0,0,0,139.21,0,2.32,622.03,256.37,0
3,3,PBS,3,0,0,0,0,78.66,0,2.04,135.16,781.39,0
4,3,PBS,3,0,0,0,0,278.7,0,1.2,593.84,384.29,0
A1,1,E. coli,4,0,0,0,0,16.73,312.15,124.89,607.99,3032.28,0
B1,1,E. coli,4,0,0,0,0,47.28,0,104.15,1455.2,1218.72,0
C1,1,E. coli,4,0,0,0,0,40.81,0,3.94,218.93,1530.2,0
D1,1,E. coli,4,0,0,0,0,28.6,0,4.31,205.87,646.39,0
A2,1,E. coli,4,0,0,0,0,115.3,196.18,34.94,601.14,2639.25,0
B2,1,E. coli,4,0,0,0,0,8.24,0,116.03,1041.72,519.74,0
C2,1,E. coli,4,0,0,0,0,25.68,110.23,4.31,134.43,1684.5,0
D2,1,E. coli,4,1,1,0,1,4.99,564.38,107.53,3217.69,608.11,1
A3,1,E. coli,4,0,0,0,0,8.55,173.64,179.25,2535.33,2015.44,0
B3,1,E. coli,4,0,0,0,0,19.39,414.11,86.91,492.08,2573.95,0
C3,1,E. coli,4,0,0,0,0,66.37,0,1.41,370.41,585.6,0
D3,1,E. coli,4,0,0,0,0,687.4,127.64,4.31,903.34,470.82,0
A4,1,E. coli,4,0,0,0,0,55.1,3668.45,2250,11250,3562.33,1
B4,1,E. coli,4,0,0,0,0,2.84,0,54.69,458.36,1310.89,0
C4,1,E. coli,4,0,0,0,0,15.91,0,0.34,192.94,493.02,0
D4,1,E. coli,4,0,0,0,0,2250,629.77,5.4,1722.32,669.27,0
A5,1,E. coli,4,0,0,0,0,287.27,589.44,163.19,9111.49,3434.8,0
B5,1,E. coli,4,0,0,0,0,77.08,41.5,49.47,1225.72,702.44,0
C5,1,E. coli,4,0,0,0,0,9.76,0,4.31,416.76,770.41,0
D5,1,E. coli,4,0,0,0,0,217.91,447.52,2.49,3258.56,280.89,0
A6,1,E. coli,4,0,0,0,0,15.75,170.99,301.63,1489.13,810.44,0
B6,1,E. coli,4,0,0,0,0,15.26,201.72,133.45,3531.22,920.34,0
C6,1,E. coli,4,0,0,0,0,8.7,0,4.67,96.96,503.28,0
D6,1,E. coli,4,1,1,0,1,35.7,340.47,5.4,169.14,250.19,1
A1,2,E. coli,4,0,0,0,0,407.86,295.44,147.63,4102.89,1305.1,1
B1,2,E. coli,4,1,1,0,1,3.84,115.58,131.06,2043.99,793.28,1
C1,2,E. coli,4,1,1,0,1,4.27,859.21,154.55,790.47,134.6,1
D1,2,E. coli,4,1,1,0,1,24.42,1437.1,237.44,4339.81,1479.53,1
A2,2,E. coli,4,0,0,0,0,46.39,475.58,662.49,2320.18,3508.7,0
B2,2,E. coli,4,0,0,0,0,12.39,0,167.78,466.67,1486.08,0
C2,2,E. coli,4,0,0,0,0,18.39,296.3,54.28,1027.33,2346.9,1
D2,2,E. coli,4,0,0,0,0,1.57,385.59,189.44,1458.79,1201.59,0
A3,2,E. coli,4,1,1,0,1,1275.54,3534.93,2250,11250,5087.77,1
B3,2,E. coli,4,0,0,0,0,14.61,261.74,453.94,2963.85,1536.65,0
C3,2,E. coli,4,0,0,0,0,30.29,64.64,182.45,402.44,2194.11,0
D3,2,E. coli,4,0,0,0,0,10.83,0,14.18,275.85,787.52,0
A4,2,E. coli,4,0,0,0,0,36.12,0,8.68,109.31,2151.73,0
B4,2,E. coli,4,0,0,0,0,22.48,612.18,399.94,3834.51,580.04,0
C4,2,E. coli,4,0,0,0,0,45.08,0,46.3,1013.9,1050.18,0
D4,2,E. coli,4,0,0,0,0,6.47,111.28,200.85,1916.83,1039.17,0
A5,2,E. coli,4,0,0,0,0,93.01,470.12,376.8,8891.68,1391.6,1
B5,2,E. coli,4,0,0,0,0,12.55,372.65,400.5,4844.5,764.71,0
C5,2,E. coli,4,0,0,0,0,18.89,0,2.86,134.43,1032.18,0
