 ,Label,Area,Mean,Min,Max,Median
338,160929_19_R3D_xx_523_xx_t072.tif,502652,66.258498922,50,82,67
339,160929_25_R3D_xx_523_xx_t017.tif,452678,58.675329925,50,76,58
340,160929_02_R3D_xx_523_xx_t040.tif,62896,54.064201221,50,69,53
341,160929_21_R3D_xx_523_xx_t033.tif,553205,67.915215878,50,82,69
342,160929_21_R3D_xx_523_xx_t018.tif,542617,65.583918307,50,80,66
343,160929_08_R3D_xx_523_xx_t068.tif,0,NaN,255,12,255
344,160929_07_R3D_xx_523_xx_t059.tif,124644,61.307796605,50,79,62
345,160929_07_R3D_xx_523_xx_t049.tif,132954,62.274884547,50,82,63
346,160929_09_R3D_xx_523_xx_t040.tif,0,NaN,255,45,255
347,160929_06_R3D_xx_523_xx_t087.tif,140888,58.616184487,50,80,59
348,160929_20_R3D_xx_523_xx_t123.tif,365364,61.718209785,50,75,63
349,160929_04_R3D_xx_523_xx_t096.tif,286537,63.446745097,50,83,64
350,160929_25_R3D_xx_523_xx_t106.tif,278474,53.844656952,50,65,54
351,160929_04_R3D_xx_523_xx_t004.tif,272628,57.306311164,50,71,57
352,160929_02_R3D_xx_523_xx_t025.tif,133081,58.065028066,50,75,58
353,160929_29_R3D_xx_523_xx_t120.tif,309021,61.858870433,50,81,63
354,160929_07_R3D_xx_523_xx_t077.tif,121118,62.236537922,50,81,63
355,160929_18_R3D_xx_523_xx_t107.tif,568976,61.558433045,50,78,62
356,160929_16_R3D_xx_523_xx_t070.tif,482516,63.227602815,50,82,64
357,160929_20_R3D_xx_523_xx_t034.tif,405180,65.981035589,50,82,68
358,160929_26_R3D_xx_523_xx_t127.tif,56198,59.228762589,50,74,60
359,160929_29_R3D_xx_523_xx_t078.tif,362804,64.226188245,50,83,66
360,160929_02_R3D_xx_523_xx_t037.tif,73678,55.143991422,50,71,55
361,160929_21_R3D_xx_523_xx_t116.tif,521791,61.505300015,50,74,62
362,160929_18_R3D_xx_523_xx_t052.tif,581824,65.983960785,50,83,67
363,160929_06_R3D_xx_523_xx_t084.tif,147173,59.583829914,50,84,60
364,160929_29_R3D_xx_523_xx_t089.tif,368327,65.113010993,50,84,67
365,160929_07_R3D_xx_523_xx_t132.tif,77998,59.196274263,50,73,60
366,160929_11_R3D_xx_523_xx_t052.tif,175119,62.621223282,50,79,64
367,160929_26_R3D_xx_523_xx_t091.tif,100209,63.146853077,50,82,64
368,160929_24_R3D_xx_523_xx_t077.tif,668752,65.758266144,50,80,67
369,160929_18_R3D_xx_523_xx_t053.tif,582682,66.080912058,50,83,67
370,160929_02_R3D_xx_523_xx_t066.tif,1209,50.506203474,50,56,50
371,160929_30_R3D_xx_523_xx_t132.tif,274968,60.660793256,50,80,61
372,160929_02_R3D_xx_523_xx_t122.tif,0,NaN,255,18,255
373,160929_22_R3D_xx_523_xx_t007.tif,562036,63.163400565,50,77,64
374,160929_16_R3D_xx_523_xx_t025.tif,462532,63.786855828,50,81,65
375,160929_28_R3D_xx_523_xx_t001.tif,300544,60.263997950,50,79,61
376,160929_22_R3D_xx_523_xx_t099.tif,604744,62.328069398,50,78,63
377,160929_13_R3D_xx_523_xx_t096.tif,294702,59.921503756,50,77,61
378,160929_06_R3D_xx_523_xx_t081.tif,151350,59.904955401,50,85,60
379,160929_23_R3D_xx_523_xx_t118.tif,599979,62.550535935,50,74,64
380,160929_07_R3D_xx_523_xx_t101.tif,109878,62.634576530,50,82,63
381,160929_24_R3D_xx_523_xx_t032.tif,676444,67.453700528,50,83,69
382,160929_20_R3D_xx_523_xx_t095.tif,388533,65.773017993,50,81,67
383,160929_03_R3D_xx_523_xx_t107.tif,42565,58.125008810,50,72,58
384,160929_31_R3D_xx_523_xx_t012.tif,81059,59.419052789,50,77,59
385,160929_04_R3D_xx_523_xx_t015.tif,323370,59.802674954,50,75,60
386,160929_17_R3D_xx_523_xx_t002.tif,401619,61.154932909,50,77,62
387,160929_08_R3D_xx_523_xx_t011.tif,0,NaN,255,35,255
388,160929_18_R3D_xx_523_xx_t138.tif,514361,56.892785417,50,72,57
389,160929_30_R3D_xx_523_xx_t113.tif,327326,62.484584176,50,81,63
